model,case_id,category,complexity,correctness,faithfulness,rule_recall,citation_recall,citation_validity,card_recall,confidence,question,expected_answer,model_answer
gpt-5.5,rulesguru:326,"Triggers, abilities & the stack",Simple,1.0,1.0,0.0,0.0,1.0,1.0,high,"Alexia attacks Nico with Kaalia of the Vast. As its trigger resolves, they put Master of Cruelties onto the battlefield. What happens?","Nico loses the game. The ability ""Master of Cruelties can only attack alone."" isn't relevant here- it's being put onto the battlefield already attacking. Even though it never attacked, its trigger of ""Whenever Master of Cruelties attacks a player and isn't blocked"" will still trigger. Nico's life total becomes 1, and then Kaalia of the Vast deals 2 damage to them.","Master of Cruelties can be put onto the battlefield this way, and its “can only attack alone” ability does not stop it.

Step by step:

1. Alexia declares Kaalia of the Vast attacking Nico; a declared attacking creature becomes an attacking creature by CR 508.1k and remains so until removed from combat or combat ends under CR 506.4.

2. Kaalia’s triggered ability resolves and, by Kaalia’s Oracle text, Alexia may put an Angel, Demon, or Dragon creature card from hand onto the battlefield “tapped and attacking that opponent.” Master of Cruelties is a Demon, so it enters tapped and attacking Nico.

3. Master’s “This creature can only attack alone” does not make this illegal or remove it from combat. Kaalia’s official ruling says effects that say the creature can’t attack affect only the declaration of attackers and won’t stop the creature from entering attacking; another Kaalia ruling also says the creature put onto the battlefield this way is attacking but was never declared as an attacking creature.

4. Master’s ability does not trigger immediately when it enters. However, Master of Cruelties’s official ruling says an ability of the form “attacks and isn’t blocked” triggers in the declare blockers step after blockers are declared if the creature is attacking and no creatures were declared to block it, even if it was put onto the battlefield attacking rather than declared as an attacker. Triggered abilities that have triggered are put on the stack before a player gets priority by CR 117.5.

5. Therefore:
   - If Nico blocks Master of Cruelties, Master’s life-total ability does not trigger.
   - If Nico does not block Master of Cruelties, its ability triggers and, when it resolves, Nico’s life total becomes 1. Master’s ruling clarifies that this means Nico loses or gains the appropriate amount of life.

6. Master of Cruelties assigns no combat damage this combat because its Oracle text says so. Kaalia is still an attacking creature unless removed from combat under CR 506.4, and combat damage that is assigned is dealt in the combat damage step by CR 510.2.

So the common outcome, if Nico does not block Master and Kaalia also remains able to hit Nico, is: Master’s trigger makes Nico’s life total 1, Master deals no combat damage, and Kaalia can still deal combat damage normally afterward."
opus-4.8,rulesguru:326,"Triggers, abilities & the stack",Simple,0.5,1.0,0.0,0.0,1.0,1.0,high,"Alexia attacks Nico with Kaalia of the Vast. As its trigger resolves, they put Master of Cruelties onto the battlefield. What happens?","Nico loses the game. The ability ""Master of Cruelties can only attack alone."" isn't relevant here- it's being put onto the battlefield already attacking. Even though it never attacked, its trigger of ""Whenever Master of Cruelties attacks a player and isn't blocked"" will still trigger. Nico's life total becomes 1, and then Kaalia of the Vast deals 2 damage to them.","# Master of Cruelties Entering via Kaalia

## What happens to Master of Cruelties

When Kaalia of the Vast's attack trigger resolves, you put Master of Cruelties onto the battlefield tapped and attacking Nico (the opponent Kaalia attacked). Per Kaalia's ruling, the creature enters attacking that opponent, and it becomes an attacking creature even though it wasn't declared as one.

## Does ""can only attack alone"" stop this?

No. Master of Cruelties's restriction ""This creature can only attack alone"" affects only the **declaration** of attackers. As Kaalia's rulings note, effects that say the creature ""can't attack"" affect only the declaration of attackers and won't stop the creature from entering the battlefield attacking. Likewise, Master of Cruelties's own ruling confirms that the ""attack alone"" restriction only matters when it is *declared* as an attacker — here it is being put onto the battlefield attacking, not declared, so the restriction is irrelevant.

This is consistent with the difference between being declared an attacker (CR 508.1a, 508.1k) and being placed onto the battlefield already attacking — Master enters as an attacking creature without ever going through the declare-attackers process.

## Does its ""attacks a player and isn't blocked"" ability trigger?

This is the key point. Master of Cruelties's ability — ""Whenever this creature attacks a player and isn't blocked, that player's life total becomes 1"" — is **not** an ability that triggers ""whenever this creature attacks."" Per Kaalia's ruling, abilities that trigger ""whenever a creature attacks"" do **not** trigger from a creature being put onto the battlefield attacking, because it was never declared as an attacker.

However, Master of Cruelties's specific ruling clarifies its own ability: an ability that triggers when something ""attacks and isn't blocked"" triggers in the **declare blockers step** after blockers are declared, provided (1) the creature is attacking, and (2) no creatures are declared to block it. That ruling explicitly states it ""will trigger even if that creature was put onto the battlefield attacking rather than having been declared as an attacker in the declare attackers step.""

So Master of Cruelties **is** an attacking creature, and when the game reaches the declare blockers step, if Nico doesn't block it (Master of Cruelties has first strike and deathtouch, so blocking is dangerous), its ability triggers.

## The outcome of the ""isn't blocked"" trigger

If Master of Cruelties remains unblocked, its triggered ability sets Nico's life total to 1. Per its ruling, this is accomplished by making Nico lose the appropriate amount of life (e.g., if Nico is at 40 in Commander, Nico loses 39 life down to 1). Master of Cruelties then assigns **no** combat damage that combat.

## Summary

Master of Cruelties enters the battlefield tapped and attacking Nico (the ""attack alone"" restriction doesn't stop this, since it only governs the declare-attackers step). The simple ""attacks"" portion isn't relevant — what matters is its ""attacks and isn't blocked"" ability, which (per its own ruling) **does** trigger in the declare blockers step even for a creature put onto the battlefield attacking. If Nico fails to block it, Nico's life total becomes 1, and Master of Cruelties deals no combat damage.

(Note: Kaalia's ruling about the opponent leaving the game doesn't apply here, since Nico is still being attacked.)"
sonnet-4.5,rulesguru:326,"Triggers, abilities & the stack",Simple,1.0,1.0,0.0,0.0,1.0,1.0,high,"Alexia attacks Nico with Kaalia of the Vast. As its trigger resolves, they put Master of Cruelties onto the battlefield. What happens?","Nico loses the game. The ability ""Master of Cruelties can only attack alone."" isn't relevant here- it's being put onto the battlefield already attacking. Even though it never attacked, its trigger of ""Whenever Master of Cruelties attacks a player and isn't blocked"" will still trigger. Nico's life total becomes 1, and then Kaalia of the Vast deals 2 damage to them.","Looking at this interaction step by step:

## What Happens

**Master of Cruelties enters the battlefield tapped and attacking Nico successfully.** Both creatures (Kaalia and Master of Cruelties) will be attacking creatures together during this combat.

## Analysis

**1. Kaalia's Trigger Resolves**

When Kaalia's triggered ability resolves, Alexia may put Master of Cruelties onto the battlefield tapped and attacking the opponent Kaalia attacked (Nico). By CR 508.1k, Master of Cruelties becomes an attacking creature and remains one until removed from combat or the combat phase ends.

**2. Master of Cruelties's ""Attack Alone"" Restriction**

Master of Cruelties has the restriction ""This creature can only attack alone."" However, this restriction only applies during the declare attackers step when attackers are declared (CR 508.1a governs declaring attackers). 

According to Kaalia's third ruling: ""Although the creature you put onto the battlefield is an attacking creature, it was never declared as an attacking creature."" Master of Cruelties was not declared as an attacker—it entered the battlefield already attacking.

**3. Master of Cruelties's Own Ruling Confirms This**

Master of Cruelties's first ruling explicitly addresses this scenario: ""If Master of Cruelties attacks alone, another creature entering the battlefield attacking will have no effect on it. Master of Cruelties continues to be an attacking creature.""

This ruling confirms that when Master of Cruelties is already attacking (whether declared alone or put onto the battlefield attacking), another creature entering the battlefield attacking doesn't violate its restriction or remove it from combat.

**4. Combat Continues Normally**

- Both Kaalia and Master of Cruelties are attacking creatures
- If Master of Cruelties is not blocked, its triggered ability will trigger (per its fifth ruling) and reduce Nico's life total to 1
- Master of Cruelties will assign no combat damage (per its oracle text)
- Kaalia will assign combat damage normally (2 damage if unblocked)

The key insight is that Master of Cruelties's ""attack alone"" restriction is a declaration restriction, not a state-based restriction on being an attacking creature alongside others."
gpt-5-mini,rulesguru:345,"Costs, casting & mana",Simple,0.0,0.0,0.0,0.0,1.0,0.5,low,Anika controls Walk-In Closet // Forgotten Cellar. Can they cast Zoetic Cavern from their graveyard face down?,"No, they can't. Morph does function in the graveyard, since Zoetic Cavern could be played from there. However, as the first step to determine if Zoetic Cavern can be cast for its morph cost, it is turned face down. A face-down Zoetic Cavern is a creature card, not a land card, so Walk-In Closet // Forgotten Cellar no longer gives Anika permission to play it.","I need you to clarify which card you mean:
  • 'Walk-In Closet' → Walk-In Closet // Forgotten Cellar, Time Walk, Walk with the Ancestors, Derelict Attic // Widow's Walk, Cut In
  • 'Forgotten Cellar' → Walk-In Closet // Forgotten Cellar, Liesa, Forgotten Archangel, Sphinx of Forgotten Lore, Shaman of Forgotten Ways, Guardian of the Forgotten"
gpt-5.5,rulesguru:345,"Costs, casting & mana",Simple,0.0,0.0,0.0,0.0,1.0,0.5,low,Anika controls Walk-In Closet // Forgotten Cellar. Can they cast Zoetic Cavern from their graveyard face down?,"No, they can't. Morph does function in the graveyard, since Zoetic Cavern could be played from there. However, as the first step to determine if Zoetic Cavern can be cast for its morph cost, it is turned face down. A face-down Zoetic Cavern is a creature card, not a land card, so Walk-In Closet // Forgotten Cellar no longer gives Anika permission to play it.","I need you to clarify which card you mean:
  • 'Walk-In Closet' → Walk-In Closet // Forgotten Cellar, Time Walk, Walk with the Ancestors, Derelict Attic // Widow's Walk, Cut In
  • 'Forgotten Cellar' → Walk-In Closet // Forgotten Cellar, Liesa, Forgotten Archangel, Sphinx of Forgotten Lore, Shaman of Forgotten Ways, Guardian of the Forgotten"
opus-4.8,rulesguru:345,"Costs, casting & mana",Simple,0.0,0.0,0.0,0.0,1.0,0.5,low,Anika controls Walk-In Closet // Forgotten Cellar. Can they cast Zoetic Cavern from their graveyard face down?,"No, they can't. Morph does function in the graveyard, since Zoetic Cavern could be played from there. However, as the first step to determine if Zoetic Cavern can be cast for its morph cost, it is turned face down. A face-down Zoetic Cavern is a creature card, not a land card, so Walk-In Closet // Forgotten Cellar no longer gives Anika permission to play it.","I need you to clarify which card you mean:
  • 'Walk-In Closet' → Walk-In Closet // Forgotten Cellar, Time Walk, Walk with the Ancestors, Derelict Attic // Widow's Walk, Cut In
  • 'Forgotten Cellar' → Walk-In Closet // Forgotten Cellar, Liesa, Forgotten Archangel, Sphinx of Forgotten Lore, Shaman of Forgotten Ways, Guardian of the Forgotten"
sonnet-4.5,rulesguru:345,"Costs, casting & mana",Simple,0.0,0.0,0.0,0.0,1.0,0.5,low,Anika controls Walk-In Closet // Forgotten Cellar. Can they cast Zoetic Cavern from their graveyard face down?,"No, they can't. Morph does function in the graveyard, since Zoetic Cavern could be played from there. However, as the first step to determine if Zoetic Cavern can be cast for its morph cost, it is turned face down. A face-down Zoetic Cavern is a creature card, not a land card, so Walk-In Closet // Forgotten Cellar no longer gives Anika permission to play it.","I need you to clarify which card you mean:
  • 'Walk-In Closet' → Walk-In Closet // Forgotten Cellar, Time Walk, Walk with the Ancestors, Derelict Attic // Widow's Walk, Cut In
  • 'Forgotten Cellar' → Walk-In Closet // Forgotten Cellar, Liesa, Forgotten Archangel, Sphinx of Forgotten Lore, Shaman of Forgotten Ways, Guardian of the Forgotten"
gpt-5-mini,rulesguru:384,Replacement & prevention,Intermediate,1.0,1.0,1.0,1.0,0.75,1.0,high,Ainsley controls two Bramblewood Paragons and casts Thunder-Thrash Elder. What is the maximum amount of counters Thunder-Thrash Elder can enter the battlefield with?,"Eight. Both Bramblewood Paragon and Thunder-Thrash Elder have replacement effects that modify how Thunder-Thrash Elder enters the battlefield. While Thunder-Thrash Elder is entering the battlefield the game checks which replacement effects to apply, and sees that there are two Bramblewood Paragons that want to place an additional +1/+1 counter on Thunder-Thrash Elder as well as a Devour ability. If Ainsley chooses to devour the Bramblewood Paragons, they will place an additional six +1/+1 counters on Thunder-Thrash Elder.","Short answer: 8 +1/+1 counters.

Explanation:

- Thunder‑Thrash Elder has Devour 3: as it enters you may sacrifice any number of creatures; it enters with three times that many +1/+1 counters (its oracle/rulings). When you cast it as a spell, you choose how many and which creatures to devour as part of the resolution of that spell (Thunder‑Thrash Elder ruling).
- Bramblewood Paragon’s static ability reads “Each other Warrior creature you control enters with an additional +1/+1 counter on it.” The Paragon rulings confirm multiple Paragons’ effects are cumulative.

How these interact and why the Elder gets 8 counters:

- “Enters with”/“as it enters” text are static/replacement effects whose effects occur as part of the event that puts the permanent onto the battlefield (see CR 603.6d and the replacement‑effects rules in CR 614). If a replacement effect that modifies how a permanent enters the battlefield requires a choice, that choice is made before the permanent enters (CR 614.12a).
- Devour is a replacement‑type effect that can cause other objects to change zones (sacrificing them) as part of the enter‑the‑battlefield event (CR 614.13 and the Thunder‑Thrash Elder rulings, which also state all creatures devoured this way are sacrificed at the same time). Thus you choose which creatures to devour before the Elder actually enters, and the sacrifices occur as part of applying the replacement effects for the entering event.
- Because those choices are made and replacement effects for the entering event are applied using the game state immediately before the Elder is put onto the battlefield, the Bramblewood Paragons are still on the battlefield at that moment and their static “enters with +1/+1 counter” effects apply to the entering Elder. The Paragon rulings also confirm the Paragon effects stack.
- Therefore, if Ainsley sacrifices both Bramblewood Paragons to devour the Elder, devour gives 3 × 2 = 6 counters, and the two Paragons’ “each other Warrior … enters with an additional +1/+1 counter” effects add 2 more counters, for a total of 8 +1/+1 counters on Thunder‑Thrash Elder as it enters."
gpt-5.5,rulesguru:384,Replacement & prevention,Intermediate,1.0,1.0,0.0,0.0,1.0,1.0,high,Ainsley controls two Bramblewood Paragons and casts Thunder-Thrash Elder. What is the maximum amount of counters Thunder-Thrash Elder can enter the battlefield with?,"Eight. Both Bramblewood Paragon and Thunder-Thrash Elder have replacement effects that modify how Thunder-Thrash Elder enters the battlefield. While Thunder-Thrash Elder is entering the battlefield the game checks which replacement effects to apply, and sees that there are two Bramblewood Paragons that want to place an additional +1/+1 counter on Thunder-Thrash Elder as well as a Devour ability. If Ainsley chooses to devour the Bramblewood Paragons, they will place an additional six +1/+1 counters on Thunder-Thrash Elder.","Assuming the two **Bramblewood Paragons** are the only creatures Ainsley has available to devour, the maximum is **8 +1/+1 counters**.

Step by step:

- **Thunder-Thrash Elder** is a **Warrior**, so each **Bramblewood Paragon**’s text applies to it: “Each other Warrior creature you control enters with an additional +1/+1 counter on it.”
- The official **Bramblewood Paragon** ruling says multiple Paragons are cumulative, so two Paragons can add **2 additional +1/+1 counters**.
- **Thunder-Thrash Elder** has **devour 3**, so as it enters, Ainsley may sacrifice creatures; it enters with **three times that many +1/+1 counters**. Devour is an enter-the-battlefield-modifying replacement effect, as reflected by CR **614.13b**’s Thunder-Thrash Elder/devour example.
- The Elder’s ruling says it may devour creatures already on the battlefield and can’t devour itself. The two Paragons are already on the battlefield, so Ainsley can sacrifice both. CR **614.13b** also prevents choosing the same object to change zones more than once, so each Paragon can count only once.
- Devouring both Paragons gives **2 × 3 = 6** counters, and the two Paragon effects add **2** more. Counters put on an object as it enters are covered by CR **122.6**.

So the maximum from the described two Paragons is:

**6 + 2 = 8 +1/+1 counters.**

If Ainsley controlled additional creatures too, Thunder-Thrash Elder could devour those as well, adding **3 more counters per additional creature**."
opus-4.8,rulesguru:384,Replacement & prevention,Intermediate,0.0,0.5,1.0,1.0,1.0,1.0,low,Ainsley controls two Bramblewood Paragons and casts Thunder-Thrash Elder. What is the maximum amount of counters Thunder-Thrash Elder can enter the battlefield with?,"Eight. Both Bramblewood Paragon and Thunder-Thrash Elder have replacement effects that modify how Thunder-Thrash Elder enters the battlefield. While Thunder-Thrash Elder is entering the battlefield the game checks which replacement effects to apply, and sees that there are two Bramblewood Paragons that want to place an additional +1/+1 counter on Thunder-Thrash Elder as well as a Devour ability. If Ainsley chooses to devour the Bramblewood Paragons, they will place an additional six +1/+1 counters on Thunder-Thrash Elder.","# Setting Up the Problem

Ainsley controls two **Bramblewood Paragons** and casts **Thunder-Thrash Elder**, a Lizard *Warrior* with **Devour 3**.

Two effects modify how Thunder-Thrash Elder enters the battlefield, both static ""enters with"" replacement effects (CR 614.1c, CR 603.6d):

1. **Devour 3** — devour is a static ability (CR 702.82a): ""As this object enters, you may sacrifice any number of creatures. This permanent enters with N +1/+1 counters on it for each creature sacrificed this way,"" where N = 3.
2. **Bramblewood Paragon** — each *other* Warrior you control enters with an additional +1/+1 counter. Thunder-Thrash Elder is a Warrior, so it qualifies. Per Bramblewood Paragon's ruling, the effects from multiple Paragons are **cumulative**, so two Paragons would add **2** additional counters.

# Counting the Devour Sacrifices

To maximize counters, Ainsley wants to devour as many creatures as possible. The only creatures available to sacrifice are the **two Bramblewood Paragons** themselves.

By devour's rulings, you may sacrifice only creatures already on the battlefield, and you can't devour the entering creature itself. So the maximum number of creatures Ainsley can sacrifice is **2** (the two Paragons). Devour 3 gives three counters per creature: 2 × 3 = **6 counters** from devour.

# The Timing Interaction with the Paragons' Bonus

Here is the critical point. The two replacement effects that modify how Thunder-Thrash Elder enters are applied together as part of the single entering event. When applying a replacement effect that modifies how a permanent enters, the game checks the permanent's characteristics ""as it would exist on the battlefield, taking into account replacement effects that have already modified how it enters"" (CR 614.12), and any required choices are made before the permanent actually enters (CR 614.12a). The devour sacrifice is made as a choice during the application of these entering replacement effects (CR 614.13b).

The key is that the Bramblewood Paragons' counter-granting effect is a continuous effect from a static ability that is only active while the Paragon remains on the battlefield (CR 604.2, CR 611.3b). A static ability's continuous effect applies at any given moment to whatever its text indicates and is not ""locked in"" (CR 611.3a). For a Paragon to grant its additional +1/+1 counter, it must be on the battlefield contributing that effect as Thunder-Thrash Elder enters. If Ainsley sacrifices a Paragon to devour, that Paragon has left the battlefield, so its static ability is no longer active and provides no bonus.

So Ainsley must choose between competing plans:

- **Sacrifice both Paragons:** 2 × 3 = **6** counters from devour, but **0** from the Paragons (both gone). Total = **6**.
- **Sacrifice one Paragon (keep one):** 1 × 3 = 3 from devour, plus **1** from the surviving Paragon. Total = **4**.
- **Sacrifice neither:** 0 from devour, plus **2** from both Paragons. Total = **2**.

# Conclusion

The maximum is achieved by sacrificing both Paragons to devour: **6 +1/+1 counters**. Because devouring a Paragon removes it from the battlefield, a sacrificed Paragon's static ability is no longer active to contribute its additional-counter effect, so the two plans cannot be combined.

(Cited rules: 702.82a, 614.1c, 603.6d, 614.12, 614.12a, 614.13b, 604.2, 611.3a, 611.3b)"
sonnet-4.5,rulesguru:384,Replacement & prevention,Intermediate,1.0,1.0,0.0,0.0,1.0,1.0,high,Ainsley controls two Bramblewood Paragons and casts Thunder-Thrash Elder. What is the maximum amount of counters Thunder-Thrash Elder can enter the battlefield with?,"Eight. Both Bramblewood Paragon and Thunder-Thrash Elder have replacement effects that modify how Thunder-Thrash Elder enters the battlefield. While Thunder-Thrash Elder is entering the battlefield the game checks which replacement effects to apply, and sees that there are two Bramblewood Paragons that want to place an additional +1/+1 counter on Thunder-Thrash Elder as well as a Devour ability. If Ainsley chooses to devour the Bramblewood Paragons, they will place an additional six +1/+1 counters on Thunder-Thrash Elder.","Looking at this interaction step by step:

## Relevant Abilities and Rules

**Bramblewood Paragon's ability:**
- ""Each other Warrior creature you control enters with an additional +1/+1 counter on it.""
- The rulings confirm: ""The effects from more than one Bramblewood Paragon are cumulative.""

**Thunder-Thrash Elder:**
- Is a Warrior creature (Lizard Warrior)
- Has ""Devour 3 (As this creature enters, you may sacrifice any number of creatures. It enters with three times that many +1/+1 counters on it.)""

## How These Interact

By CR 603.6d, both devour and Bramblewood Paragon's ability are static abilities (not triggered abilities) whose effects occur as part of the event that puts the permanent onto the battlefield. They are replacement effects that modify how Thunder-Thrash Elder enters.

By CR 614.13b, when applying replacement effects that modify how a permanent enters the battlefield, we apply all applicable effects. The example in this rule specifically addresses devour interactions.

## Calculating Maximum Counters

1. **From Devour 3:** Thunder-Thrash Elder can devour any number of creatures. For each creature sacrificed, it enters with 3 +1/+1 counters. There's no stated maximum in the rules, but practically, you're limited by the number of creatures you control.

2. **From two Bramblewood Paragons:** Since the Paragon ruling states effects are cumulative, and each Paragon adds ""an additional +1/+1 counter,"" Thunder-Thrash Elder enters with 2 additional +1/+1 counters (one from each Paragon).

3. **Total formula:** If you sacrifice N creatures to devour, Thunder-Thrash Elder enters with **(3N + 2)** +1/+1 counters.

## Answer

**There is no theoretical maximum** - it depends on how many creatures Ainsley controls to sacrifice. However, the formula is:

**Maximum counters = (3 × number of creatures devoured) + 2**

For example:
- Devour 0 creatures: 2 counters
- Devour 1 creature: 5 counters  
- Devour 2 creatures: 8 counters
- And so on...

The practical maximum would be 3 times the number of other creatures Ainsley controls (excluding the two Paragons and Thunder-Thrash Elder itself, per the devour rulings), plus 2."
gpt-5-mini,rulesguru:415,Layers & continuous effects,Simple,1.0,1.0,1.0,1.0,1.0,1.0,high,"Aspen has seven cards in their hand and controls Recycle. They cast Trusted Advisor. After that resolves, what is Aspen's maximum hand size?","Four. Recycle sets the maximum hand size to two, and Trusted Advisor then modifies that maximum hand size by adding two to it.","Short answer: Aspen’s maximum hand size is 4.

Why:

- Recycle is a continuous effect that sets Aspen’s maximum hand size to two.
- Trusted Advisor is a continuous effect that increases Aspen’s maximum hand size by two.
- Continuous effects that modify players are applied in timestamp order (see CR 613.10 and CR 613.7). Because Recycle was already on the battlefield and Trusted Advisor entered later when it resolved, apply Recycle first (maximum = 2) and then apply Trusted Advisor’s “+2” → 2 + 2 = 4.
- Having more cards than your maximum is allowed except during the cleanup step, when you must discard down to your maximum (see CR 402.2 and CR 514.1). So Aspen may hold seven cards immediately after Trusted Advisor resolves but must discard down to four during their next cleanup step."
gpt-5.5,rulesguru:415,Layers & continuous effects,Simple,1.0,1.0,1.0,1.0,1.0,1.0,high,"Aspen has seven cards in their hand and controls Recycle. They cast Trusted Advisor. After that resolves, what is Aspen's maximum hand size?","Four. Recycle sets the maximum hand size to two, and Trusted Advisor then modifies that maximum hand size by adding two to it.","Aspen’s maximum hand size is **4**.

Recycle says, “Your maximum hand size is two.” Trusted Advisor says, “Your maximum hand size is increased by two.” These are continuous effects affecting a player, so they’re applied in timestamp order under CR 613.10 and CR 613.7: the earlier effect is applied before the later one.

Because Aspen already controlled Recycle, Recycle’s effect has the earlier timestamp. Trusted Advisor’s effect is newer after it resolves. Apply Recycle first: Aspen’s maximum hand size becomes **2**. Then apply Trusted Advisor: it’s increased by **2**, making it **4**.

Aspen doesn’t discard immediately; maximum hand size is only enforced during the cleanup step under CR 402.2 and CR 514.1."
opus-4.8,rulesguru:415,Layers & continuous effects,Simple,1.0,1.0,0.0,0.0,1.0,1.0,high,"Aspen has seven cards in their hand and controls Recycle. They cast Trusted Advisor. After that resolves, what is Aspen's maximum hand size?","Four. Recycle sets the maximum hand size to two, and Trusted Advisor then modifies that maximum hand size by adding two to it.","I need to work through the timestamp order of the two hand-size-modifying effects.

**The objects involved:**
- **Recycle** sets ""Your maximum hand size is two.""
- **Trusted Advisor** says ""Your maximum hand size is increased by two.""

**Applying the effects in timestamp order:**

When multiple effects modify a player's maximum hand size, they're applied in timestamp order. Both Recycle's own rulings and Trusted Advisor's ruling confirm this. Notably, Trusted Advisor's ruling gives an exactly parallel example: ""if you put Null Profusion (an enchantment that says your maximum hand size is two) onto the battlefield and then put Trusted Advisor onto the battlefield, your maximum hand size will be four.""

Here, Recycle was already on the battlefield, and **then** Aspen casts Trusted Advisor, which resolves and enters afterward. So:
1. First (earlier timestamp), Recycle sets maximum hand size to **2**.
2. Then (later timestamp), Trusted Advisor increases that by 2, giving **2 + 2 = 4**.

This is exactly the favorable ordering described in Trusted Advisor's ruling — the ""set to two"" effect applies first, and the ""+2"" applies on top of it.

**Conclusion:** Aspen's maximum hand size is **4**.

(Note: the fact that Aspen currently has seven cards in hand is a red herring for the maximum-hand-size question. Per CR 402.2 and Recycle's ruling, a player may have any number of cards in hand at any time; maximum hand size is only enforced as a turn-based action during the cleanup step, when the active player discards down to their maximum (CR 514.1). So Aspen can hold all seven cards now, but at their next cleanup step they would discard down to four.)

**Answer: 4.**"
sonnet-4.5,rulesguru:415,Layers & continuous effects,Simple,1.0,1.0,0.0,0.0,1.0,1.0,high,"Aspen has seven cards in their hand and controls Recycle. They cast Trusted Advisor. After that resolves, what is Aspen's maximum hand size?","Four. Recycle sets the maximum hand size to two, and Trusted Advisor then modifies that maximum hand size by adding two to it.","Looking at this step-by-step:

## Initial State
- Aspen controls **Recycle**, which states ""Your maximum hand size is two.""
- Aspen has 7 cards in hand (though this doesn't affect the maximum hand size calculation)

## After Casting Trusted Advisor
When Trusted Advisor resolves and enters the battlefield, it creates a second effect that modifies maximum hand size: ""Your maximum hand size is increased by two.""

## Applying the Effects

According to the rulings on both cards, when multiple effects modify hand size, they are applied in **timestamp order** (the order in which the permanents entered the battlefield).

**Timestamp order:**
1. Recycle (already on battlefield) - timestamp 1
2. Trusted Advisor (just resolved) - timestamp 2

**Application:**
- Start with the default maximum hand size of 7 (per CR 402.2)
- Apply Recycle first: Sets maximum hand size to 2
- Apply Trusted Advisor second: Increases maximum hand size by 2

This is explicitly confirmed by Trusted Advisor's ruling: ""If you put Null Profusion (an enchantment that says your maximum hand size is two) onto the battlefield and then put Trusted Advisor onto the battlefield, your maximum hand size will be four.""

Since Recycle has the same effect as Null Profusion (setting maximum hand size to two), and Trusted Advisor entered after Recycle, the same logic applies.

## Answer

**Aspen's maximum hand size is 4.**

(2 from Recycle, then +2 from Trusted Advisor = 4 total)

Note: By CR 402.2 and CR 514.1, this maximum hand size will only matter during Aspen's cleanup step, when they would need to discard down to 4 cards if they have more than that."
gpt-5-mini,rulesguru:542,"Costs, casting & mana",Simple,1.0,1.0,1.0,1.0,1.0,1.0,high,"Aspen and Nico each control an Exotic Orchard. If Aspen taps their Exotic Orchard, what type(s) of mana can it produce?","None. Nico's Exotic Orchard couldn't produce any mana, so neither can Exotic Orchard.","Short answer: It produces no mana — Aspen’s Exotic Orchard can’t add any color in that position.

Reasoning, step by step:

1) What the Orchard does. Exotic Orchard’s oracle ability is “{T}: Add one mana of any color that a land an opponent controls could produce.” (Exotic Orchard oracle text). 

2) Whose lands are checked. “A land an opponent controls” for Aspen means lands Nico controls — here Nico’s land is an Exotic Orchard.

3) What “could produce” means. When an effect looks at what a permanent “could produce,” it uses the types of mana that an ability of that permanent would produce if the ability were to resolve at that time, ignoring costs and taking into account replacement effects (CR 106.7). (I cite CR 106.7 for that rule.)

4) Circular dependence gives no colors. Because Nico’s Exotic Orchard in turn only looks at what lands Aspen controls, the two Exotic Orchards only refer to each other and there is no other land that actually produces a color. As the official Exotic Orchard rulings explain: “Lands that produce mana based only on what other lands ‘could produce’ won't help each other … if you control an Exotic Orchard and your opponent controls an Exotic Orchard … none of those lands would produce mana if their mana abilities were activated.” (Exotic Orchard ruling, bullet 5). Therefore there are no colors that Nico’s Exotic Orchard “could produce,” so Aspen’s Exotic Orchard has no color to copy.

5) Producing no defined color means producing no mana. If an ability would produce mana of an undefined type (no colors), it produces no mana instead (CR 106.5). (I cite CR 106.5 for that consequence.)

Conclusion (explicit): Aspen’s Exotic Orchard produces no mana (zero colors) when Aspen taps it while Nico’s only relevant land is Nico’s Exotic Orchard."
gpt-5.5,rulesguru:542,"Costs, casting & mana",Simple,1.0,1.0,1.0,1.0,1.0,1.0,high,"Aspen and Nico each control an Exotic Orchard. If Aspen taps their Exotic Orchard, what type(s) of mana can it produce?","None. Nico's Exotic Orchard couldn't produce any mana, so neither can Exotic Orchard.","With only those two **Exotic Orchards** involved, Aspen’s **Exotic Orchard produces no mana**.

Reasoning:

- **Exotic Orchard** says: “{T}: Add one mana of any color that a land an opponent controls could produce.”
- Aspen’s opponent Nico controls an **Exotic Orchard**, so Aspen’s Orchard looks at what Nico’s Orchard “could produce.”
- Under **CR 106.7**, what a permanent “could produce” means any type of mana one of its abilities would produce if it resolved at that time, ignoring whether costs can be paid.
- But Nico’s Exotic Orchard would in turn look at what Aspen’s lands could produce — which, from the stated facts, is just Aspen’s Exotic Orchard doing the same thing back.
- The official Exotic Orchard ruling directly covers this: lands that produce mana based only on what other lands “could produce” won’t help each other unless some other land allows one of them to actually produce some type of mana.

So, if Aspen and Nico each control only an **Exotic Orchard** as relevant lands, Aspen’s Exotic Orchard has no color available to choose and produces no mana. It also can’t produce colorless; Exotic Orchard’s ruling says it can’t be tapped for colorless mana, and the colored mana symbols are only white, blue, black, red, and green by **CR 107.4a**."
